time,temperature,humidity,microphone
2024-12-07 00:52:29.645789089+00:00,25.6,41,4.8
2024-12-07 00:52:49.752544420+00:00,25.6,41,20.64
2024-12-07 00:53:09.832027767+00:00,25.6,41,25.12
2024-12-07 00:53:29.943652136+00:00,25.6,41,24.16
2024-12-07 00:53:50.010493517+00:00,25.6,41,2.52
2024-12-07 00:54:10.122594899+00:00,25.6,41,6.92
2024-12-07 00:54:30.205228699+00:00,25.7,41,38.6
2024-12-07 00:54:50.296247787+00:00,25.7,41,11
2024-12-07 00:55:10.360327603+00:00,25.7,40,16.84
2024-12-07 00:55:30.459533211+00:00,25.7,41,8.04
2024-12-07 00:55:50.522353167+00:00,25.7,41,6.16
2024-12-07 00:56:10.595643997+00:00,25.7,41,13.12
2024-12-07 03:31:55.728985733+00:00,25.1,37,15.24
2024-12-07 03:32:15.835618063+00:00,24.1,31,13.68
2024-12-07 03:32:35.937313918+00:00,24,31,6.76
2024-12-07 03:32:56.048317656+00:00,24,31,3.12
2024-12-07 03:33:16.136045127+00:00,24,31,8.16
2024-12-07 03:33:36.253285454+00:00,24,31,20.2
2024-12-07 03:33:56.349551374+00:00,24,31,4.04
2024-12-07 03:34:16.465517121+00:00,24,31,7.96
2024-12-07 03:34:36.551573887+00:00,24,31,4.32
2024-12-07 03:34:56.677873575+00:00,24,31,1.92
2024-12-07 03:35:16.765666950+00:00,24,31,5.48
2024-12-07 03:35:36.895565384+00:00,24,31,5.68
2024-12-07 03:35:56.995889223+00:00,24,31,20.08
2024-12-07 03:36:17.113964451+00:00,24,31,1.64
2024-12-07 03:36:37.198815749+00:00,24,31,4.08
2024-12-07 03:36:57.313608465+00:00,24,31,4.12
2024-12-07 03:37:17.399419373+00:00,24,31,13.96
2024-12-07 03:37:37.502762639+00:00,24,31,15.72
2024-12-07 03:37:57.585871544+00:00,24,31,2.52
2024-12-07 03:38:17.692701643+00:00,23.9,30,2.12
2024-12-07 03:38:37.762759451+00:00,23.9,30,12.56
2024-12-07 03:38:57.859963546+00:00,24,30,10.32
2024-12-07 03:39:38.015148124+00:00,23.9,30,3.24
2024-12-07 03:39:58.072552088+00:00,24,30,3.08
2024-12-07 03:40:18.184989871+00:00,23.9,30,14.44
2024-12-07 03:40:38.283671326+00:00,24,30,2.84
2024-12-07 03:40:58.370487220+00:00,24,30,6.4
2024-12-07 03:41:18.434384520+00:00,24,30,1.8
2024-12-07 03:41:38.557489159+00:00,23.9,30,4
2024-12-07 03:41:58.630613098+00:00,24,30,3.84
2024-12-07 03:42:18.744649037+00:00,23.9,30,1.64
2024-12-07 03:42:38.836323156+00:00,24,30,24.6
2024-12-07 03:42:58.942290539+00:00,24,30,4.44
2024-12-07 03:43:19.029300862+00:00,23.9,30,4.28
2024-12-07 03:43:39.152330837+00:00,24,30,3.96
2024-12-07 03:43:59.231225692+00:00,23.9,30,13.6
2024-12-07 03:44:19.359503888+00:00,24,30,7.04
2024-12-07 03:44:39.482281112+00:00,24,30,9.64
2024-12-07 03:44:59.593087028+00:00,24,30,4.96
2024-12-07 03:45:19.726458898+00:00,24,30,14.36
2024-12-07 03:45:39.820770326+00:00,24,30,1.72
2024-12-07 03:45:59.961635933+00:00,24,30,1.88
2024-12-07 03:46:20.031999377+00:00,24,30,31.4
2024-12-07 03:46:40.161332542+00:00,24,30,1.6
2024-12-07 03:47:00.268046001+00:00,24,30,26.36
2024-12-07 03:47:20.380229198+00:00,24,30,12.6
2024-12-07 03:47:40.496306697+00:00,24,30,4.08
2024-12-07 03:48:00.623309338+00:00,24,30,11.4
2024-12-07 03:48:20.689385646+00:00,24,30,26.64
2024-12-07 03:48:40.754080330+00:00,24,30,12.4
2024-12-07 03:49:00.852467092+00:00,24,30,0.4
2024-12-07 03:49:20.991091840+00:00,24,30,3.8
2024-12-07 03:49:41.110234601+00:00,24,30,7.72
2024-12-07 03:50:01.245012755+00:00,24,30,11.88
2024-12-07 03:50:21.336487034+00:00,24,30,10.52
2024-12-07 03:50:41.466368036+00:00,24.1,30,6.48
2024-12-07 03:51:01.551565347+00:00,24.1,30,14.96
2024-12-07 03:51:21.675722266+00:00,24,30,9.4
2024-12-07 03:51:41.776157032+00:00,24,30,7.32
2024-12-07 03:52:01.907391708+00:00,24,30,1.44
2024-12-07 03:52:22.013395089+00:00,24.1,30,4.08
2024-12-07 03:52:42.159642246+00:00,24,30,3.88
2024-12-07 03:53:02.270654551+00:00,24.1,30,5.12
2024-12-07 03:53:22.348046049+00:00,24,30,11.68
2024-12-07 03:53:42.419674575+00:00,24,30,7.08
2024-12-07 03:54:02.524602798+00:00,24.1,30,8.8
